Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3
0.9364571466851463,0.7473335352446572,0.5307547820974542,0.9437955472376369,0.30532182362821225,0.278211589781833,0.5436665023593468,0.4258911107503447
0.31057979211744946,0.46759736410419683,0.10096813949675032,0.15086822788018783,0.8965860251943633,0.3646571690196153,0.33756751171087207,0.23188300583896548
0.23039500878932107,0.8831900644637217,0.1784490085499707,0.7482379318819348,0.40723618196501454,0.575858225264286,0.4574676656682708,0.6157274717007235
0.5303821631097817,0.6397697174885343,0.9503165021016795,0.38281652672297795,0.2521481651994424,0.34850502720802645,0.42153965953764994,0.05469859376317732
0.8381912303541483,0.3218685255382917,0.7276203192356202,0.35176152002661865,0.6643790435730305,0.05282817862833311,0.4996729536869994,0.4348356579955256
0.34020105262741496,0.5256285557076374,0.40545488110760797,0.7319523544736425,0.3155205519060126,0.7150483692094255,0.536623024454572,0.1627309556406843
0.1408147657252513,0.424595505655178,0.47413253915097153,0.0982367241193105,0.16842820941589165,0.8812075526652575,0.2745387310463894,0.07187790687383944
0.6045596309641954,0.04403511668061155,0.664762488460038,0.2890666914101445,0.6852471502892237,0.043067000593072,0.1521257319576218,0.009066853747470516
0.9950157356405591,0.9395473409294025,0.34354359237422616,0.6031033572064035,0.9406538448353656,0.618199554031417,0.16202185277448533,0.47328387303795527
0.6441581803647932,0.5508080881814003,0.6597331617156466,0.5214052606055557,0.6059172784080998,0.1981690569897353,0.9879641466876874,0.05537925713141123
0.6971253534101656,0.6370638789903694,0.4514030554915366,0.892942406474832,0.4035973782391967,0.5379821748940466,0.918473902550327,0.1125779442625634
0.8505235270601764,0.9720517927358518,0.5795269220210337,0.41252959459612226,0.17405748996154702,0.09347626312743496,0.36483866869505055,0.17139094016975442
0.17855076933784209,0.8619744060946597,0.6829587338761219,0.016454762938225453,0.3969267565189397,0.23849655116835544,0.9008297472217267,0.7530026609319439
